# One row per (school, season) conference title: regular-season champion, or the
# title-game winner where a league staged one. Co-champions each get a full row;
# shared=1 flags a season that had 2+ champions. Distinct seasons per program are
# what the rating counts.
#
# Parsed from the NCAA "Conference Standings & Champions" book (ALL-TIME CONFERENCE
# CHAMPIONS). The book's definition is stricter than a program's own claimed count,
# so totals here run a little lower than the marketing numbers. The `conference`
# label is best-effort (the source's 3-column layout makes it noisy) — the school
# and year are reliable. A few programs the parse could not reach still use the
# summary fallback in _staging_summary_fallback.csv.
school,year,conference,shared
Oklahoma,1920,"Big East",0
Oklahoma,1938,"Big East",0
Oklahoma,1943,"Big East",0
Oklahoma,1944,"Big East",0
Oklahoma,1946,"Big East",1
Oklahoma,1947,"Big East",1
Oklahoma,1948,"Big East",0
Oklahoma,1949,"Big East",0
Oklahoma,1950,"Big East",0
Oklahoma,1951,"Big East",0
Oklahoma,1952,"Big East",0
Oklahoma,1953,"Big East",0
Oklahoma,1954,"Big East",0
Oklahoma,1955,"Big East",0
Oklahoma,1956,"Big East",0
Oklahoma,1957,"Big East",0
Oklahoma,1958,"Big East",0
Oklahoma,1959,"Big East",0
Oklahoma,1962,"Big East",0
Oklahoma,1967,"Big East",0
Oklahoma,1968,"Big East",1
Oklahoma,1973,"Big East",0
Oklahoma,1974,"Big East",0
Oklahoma,1975,"Big East",1
Oklahoma,1976,"Big East",1
Oklahoma,1977,"Big East",0
Oklahoma,1978,"Big East",1
Oklahoma,1979,"Big East",0
Oklahoma,1980,"Big East",0
Oklahoma,1984,"Big East",1
Oklahoma,1985,"Big East",0
Oklahoma,1986,"Big East",0
Oklahoma,1987,"Big East",0
Oklahoma,2000,"Big 12",0
Oklahoma,2002,"Big 12",0
Oklahoma,2004,"Big 12",0
Oklahoma,2006,"Big 12",0
Oklahoma,2007,"Big 12",0
Oklahoma,2008,"Big 12",0
Oklahoma,2010,"Big 12",0
Oklahoma,2012,"Big 12",1
Oklahoma,2016,"Big 12",0
Oklahoma,2017,"Big 12",0
Oklahoma,2018,"Big 12",0
Oklahoma,2019,"Big 12",0
Oklahoma,2020,"Big 12",0
Oklahoma State,1926,"Big East",0
Oklahoma State,1930,"Missouri Valley",0
Oklahoma State,1932,"Missouri Valley",0
Oklahoma State,1933,"Missouri Valley",0
Oklahoma State,1944,"Missouri Valley",0
Oklahoma State,1945,"Missouri Valley",0
Oklahoma State,1948,"Missouri Valley",0
Oklahoma State,1953,"Missouri Valley",0
Oklahoma State,1976,"Big East",1
Oklahoma State,2011,"Big 12",0
Oklahoma State,2015,"Big 12",0
Old Dominion,2012,"ASUN",1
Ole Miss,1947,"SEC",0
Ole Miss,1954,"SEC",0
Ole Miss,1955,"SEC",0
Ole Miss,1960,"SEC",0
Ole Miss,1962,"SEC",0
Ole Miss,1963,"SEC",0
Oregon,1919,"Pac-12 / Pacific Coast",0
Oregon,1933,"Pac-12 / Pacific Coast",1
Oregon,1957,"Pac-12 / Pacific Coast",1
Oregon,1994,"Pac-12 / Pacific Coast",0
Oregon,2000,"Pac-12 / Pacific Coast",1
Oregon,2001,"Pac-12 / Pacific Coast",0
Oregon,2009,"Pac-12 / Pacific Coast",0
Oregon,2010,"Pac-12 / Pacific Coast",0
Oregon,2011,"Pac-12 / Pacific Coast",0
Oregon,2014,"Pac-12 / Pacific Coast",0
Oregon,2019,"Pac-12 / Pacific Coast",0
Oregon,2020,"Pac-12 / Pacific Coast",0
Oregon,2024,"Big Ten",0
Oregon State,1941,"Pac-12 / Pacific Coast",0
Oregon State,1956,"Pac-12 / Pacific Coast",0
Oregon State,1957,"Pac-12 / Pacific Coast",1
Oregon State,1964,"Pac-12 / Pacific Coast",0
Oregon State,2000,"Pac-12 / Pacific Coast",1
Penn State,1994,"Big Ten",0
Penn State,2005,"Big Ten",1
Penn State,2008,"Big Ten",1
Penn State,2016,"Big Ten",0
Pittsburgh,2004,"Big East",1
Pittsburgh,2021,"ACC",0
Purdue,1918,"Big Ten",1
Purdue,1929,"Big Ten",0
Purdue,1931,"Big Ten",1
Purdue,1943,"Big Ten",1
Purdue,1952,"Big Ten",1
Purdue,1967,"Big Ten",1
Purdue,2000,"Big Ten",1
Rice,1934,"Southwest",0
Rice,1937,"Southwest",0
Rice,1946,"Southwest",0
Rice,1949,"Southwest",0
Rice,1953,"Southwest",0
Rice,1957,"Southwest",0
Rice,1994,"Southwest",1
Rice,2013,"Big West",0
Rutgers,2012,"Big East",1
Sam Houston,2001,"Southland",0
Sam Houston,2004,"Southland",0
Sam Houston,2011,"Southland",0
Sam Houston,2012,"Southland",0
Sam Houston,2014,"Southland",0
Sam Houston,2016,"Southland",0
Sam Houston,2020,"Southland",0
Sam Houston,2021,"ASUN",1
San Diego State,1969,"Big West",0
San Diego State,1970,"Big West",0
San Diego State,1972,"Big West",0
San Diego State,1973,"Big West",0
San Diego State,1974,"Big West",0
San Diego State,1986,"WAC",1
San Diego State,2012,"Mountain West",1
San Diego State,2015,"Mountain West",0
San Diego State,2016,"Mountain West",0
San Jose State,1975,"Big West",0
San Jose State,1976,"Big West",0
San Jose State,1978,"Big West",1
San Jose State,1981,"Big West",0
San Jose State,1986,"Big West",0
San Jose State,1987,"Big West",0
San Jose State,1990,"Big West",0
San Jose State,1991,"Big West",1
San Jose State,2020,"Mountain West",0
SMU,1923,"Southwest",0
SMU,1926,"Southwest",0
SMU,1935,"Southwest",0
SMU,1947,"Southwest",0
SMU,1948,"Southwest",0
SMU,1966,"Southwest",0
SMU,1981,"Southwest",0
SMU,1982,"Southwest",0
SMU,1984,"Southwest",1
SMU,2023,"American",0
South Carolina,1969,"ACC",0
Southern Miss,1996,"Big West",1
Southern Miss,1997,"Big West",1
Southern Miss,1999,"Big West",1
Southern Miss,2003,"Big West",0
Southern Miss,2011,"Big West",0
Stanford,1924,"Pac-12 / Pacific Coast",0
Stanford,1926,"Pac-12 / Pacific Coast",0
Stanford,1927,"Pac-12 / Pacific Coast",1
Stanford,1933,"Pac-12 / Pacific Coast",1
Stanford,1934,"Pac-12 / Pacific Coast",0
Stanford,1935,"Pac-12 / Pacific Coast",1
Stanford,1940,"Pac-12 / Pacific Coast",0
Stanford,1970,"Pac-12 / Pacific Coast",0
Stanford,1971,"Pac-12 / Pacific Coast",0
Stanford,1992,"Pac-12 / Pacific Coast",1
Stanford,1999,"Pac-12 / Pacific Coast",0
Stanford,2012,"Pac-12 / Pacific Coast",0
Stanford,2013,"Pac-12 / Pacific Coast",0
Stanford,2015,"Pac-12 / Pacific Coast",0
Syracuse,1991,"Big East",1
Syracuse,1996,"Big East",1
Syracuse,1997,"Big East",0
Syracuse,1998,"Big East",0
Syracuse,2004,"Big East",1
TCU,1929,"Southwest",0
TCU,1932,"Southwest",0
TCU,1938,"Southwest",0
TCU,1944,"Southwest",0
TCU,1951,"Southwest",0
TCU,1955,"Southwest",0
TCU,1958,"Southwest",0
TCU,1994,"Southwest",1
TCU,1999,"WAC",1
TCU,2000,"WAC",1
TCU,2002,"Big West",1
TCU,2005,"Mountain West",0
TCU,2009,"Mountain West",0
TCU,2010,"Mountain West",0
TCU,2011,"Mountain West",0
TCU,2014,"Big 12",1
Temple,2016,"American",0
Tennessee,1932,"Southern",1
Tennessee,1938,"SEC",0
Tennessee,1939,"SEC",1
Tennessee,1940,"SEC",0
Tennessee,1946,"SEC",1
Tennessee,1951,"SEC",1
Tennessee,1956,"SEC",0
Tennessee,1967,"SEC",0
Tennessee,1969,"SEC",0
Tennessee,1989,"SEC",1
Tennessee,1997,"SEC",0
Tennessee,1998,"SEC",0
Texas,1920,"Southwest",0
Texas,1928,"Southwest",0
Texas,1930,"Southwest",0
Texas,1942,"Southwest",0
Texas,1943,"Southwest",0
Texas,1945,"Southwest",0
Texas,1950,"Southwest",0
Texas,1952,"Southwest",0
Texas,1959,"Southwest",1
Texas,1961,"Southwest",1
Texas,1962,"Southwest",0
Texas,1963,"Southwest",0
Texas,1968,"Southwest",1
Texas,1969,"Southwest",0
Texas,1970,"Southwest",0
Texas,1971,"Southwest",0
Texas,1972,"Southwest",0
Texas,1973,"Southwest",0
Texas,1975,"Southwest",1
Texas,1977,"Southwest",0
Texas,1983,"Southwest",0
Texas,1990,"Southwest",0
Texas,1994,"Southwest",1
Texas,1995,"Southwest",0
Texas,1996,"Big 12",0
Texas,2005,"Big 12",0
Texas,2008,"Big East",1
Texas,2009,"Big 12",0
Texas,2023,"Big 12",0
Texas A&M,1917,"Southwest",0
Texas A&M,1919,"Southwest",0
Texas A&M,1921,"Southwest",0
Texas A&M,1925,"Southwest",0
Texas A&M,1927,"Southwest",0
Texas A&M,1939,"Southwest",0
Texas A&M,1940,"Southwest",0
Texas A&M,1941,"Southwest",0
Texas A&M,1956,"Southwest",0
Texas A&M,1967,"Southwest",0
Texas A&M,1975,"Southwest",1
Texas A&M,1985,"Southwest",0
Texas A&M,1986,"Southwest",0
Texas A&M,1987,"Southwest",0
Texas A&M,1991,"Southwest",0
Texas A&M,1992,"Southwest",0
Texas A&M,1993,"Southwest",0
Texas A&M,1998,"Big 12",0
Texas State,2005,"Southland",0
Texas Tech,1932,"Big West",0
Texas Tech,1933,"Big West",0
Texas Tech,1934,"Big West",0
Texas Tech,1937,"Big West",0
Texas Tech,1944,"Big West",0
Texas Tech,1947,"Big West",0
Texas Tech,1976,"Southwest",1
Texas Tech,1994,"Southwest",1
Texas Tech,2025,"Big 12",0
Toledo,1967,"MAC",1
Toledo,1969,"MAC",0
Toledo,1970,"MAC",0
Toledo,1971,"MAC",0
Toledo,1981,"MAC",0
Toledo,1984,"MAC",0
Toledo,1995,"MAC",0
Toledo,2001,"MAC",0
Toledo,2004,"MAC",0
Toledo,2017,"MAC",0
Troy,1996,"Southland",0
Troy,1999,"Southland",0
Troy,2000,"Southland",0
Troy,2006,"Sun Belt",1
Troy,2007,"Sun Belt",1
Troy,2008,"Sun Belt",0
Troy,2009,"Sun Belt",0
Troy,2010,"Sun Belt",1
Troy,2017,"Sun Belt",1
Troy,2022,"Sun Belt",0
Troy,2023,"Sun Belt",0
Tulane,1929,"Southern",0
Tulane,1930,"Southern",1
Tulane,1931,"Southern",0
Tulane,1934,"SEC",1
Tulane,1939,"SEC",1
Tulane,1949,"SEC",0
Tulane,1998,"Big West",0
Tulane,2022,"American",0
Tulane,2025,"American",0
Tulsa,1935,"Missouri Valley",0
Tulsa,1936,"Missouri Valley",0
Tulsa,1937,"Missouri Valley",0
Tulsa,1938,"Missouri Valley",0
Tulsa,1940,"Missouri Valley",0
Tulsa,1941,"Missouri Valley",0
Tulsa,1942,"Missouri Valley",0
Tulsa,1943,"Missouri Valley",0
Tulsa,1950,"Missouri Valley",0
Tulsa,1951,"Missouri Valley",0
Tulsa,1962,"Missouri Valley",0
Tulsa,1965,"Missouri Valley",0
Tulsa,1974,"Missouri Valley",0
Tulsa,1975,"Missouri Valley",0
Tulsa,1976,"Missouri Valley",1
Tulsa,1980,"Missouri Valley",0
Tulsa,1981,"Missouri Valley",0
Tulsa,1982,"Missouri Valley",0
Tulsa,1983,"Missouri Valley",0
Tulsa,1984,"Missouri Valley",0
Tulsa,1985,"Missouri Valley",0
Tulsa,2005,"Big West",0
Tulsa,2012,"Big West",0
UAB,2018,"Big West",0
UAB,2020,"Big West",0
UCF,2007,"Big West",0
UCF,2010,"Big West",0
UCF,2013,"American",0
UCF,2014,"American",1
UCF,2017,"American",0
UCF,2018,"American",0
UCLA,1935,"Pac-12 / Pacific Coast",1
UCLA,1939,"Pac-12 / Pacific Coast",1
UCLA,1942,"Pac-12 / Pacific Coast",0
UCLA,1946,"Pac-12 / Pacific Coast",0
UCLA,1953,"Pac-12 / Pacific Coast",0
UCLA,1954,"Pac-12 / Pacific Coast",0
UCLA,1955,"Pac-12 / Pacific Coast",0
UCLA,1961,"Pac-12 / Pacific Coast",0
UCLA,1965,"Pac-12 / Pacific Coast",0
UCLA,1975,"Pac-12 / Pacific Coast",1
UCLA,1982,"Pac-12 / Pacific Coast",0
UCLA,1983,"Pac-12 / Pacific Coast",0
UCLA,1985,"Pac-12 / Pacific Coast",0
UCLA,1987,"Pac-12 / Pacific Coast",1
UCLA,1993,"Pac-12 / Pacific Coast",1
UCLA,1997,"Pac-12 / Pacific Coast",1
UCLA,1998,"Pac-12 / Pacific Coast",0
UConn,1949,"WAC",0
UConn,1952,"WAC",0
UConn,1956,"WAC",0
UConn,1957,"WAC",0
UConn,1958,"WAC",0
UConn,1959,"WAC",0
UConn,1960,"WAC",1
UConn,1968,"WAC",1
UConn,1970,"WAC",1
UConn,1971,"WAC",1
UConn,1973,"WAC",1
UConn,1982,"WAC",1
UConn,1983,"WAC",1
UConn,1986,"WAC",1
UConn,1989,"WAC",1
UConn,2007,"Big East",1
UMass,1960,"WAC",1
UMass,1963,"WAC",1
UMass,1964,"WAC",1
UMass,1965,"ASUN",0
UMass,1966,"WAC",1
UMass,1967,"WAC",1
UMass,1969,"WAC",1
UMass,1971,"WAC",1
UMass,1972,"WAC",1
UMass,1974,"WAC",1
UMass,1977,"WAC",1
UMass,1978,"WAC",1
UMass,1979,"WAC",1
UMass,1981,"WAC",1
UMass,1986,"WAC",1
UMass,1988,"WAC",1
UMass,1990,"WAC",1
UMass,1999,"WAC",1
UMass,2003,"WAC",1
UMass,2006,"WAC",1
UNLV,1994,"Big West",1
USC,1927,"Pac-12 / Pacific Coast",1
USC,1928,"Pac-12 / Pacific Coast",0
USC,1929,"Pac-12 / Pacific Coast",0
USC,1931,"Pac-12 / Pacific Coast",0
USC,1932,"Pac-12 / Pacific Coast",0
USC,1938,"Pac-12 / Pacific Coast",1
USC,1939,"Pac-12 / Pacific Coast",1
USC,1943,"Pac-12 / Pacific Coast",0
USC,1944,"Pac-12 / Pacific Coast",0
USC,1945,"Pac-12 / Pacific Coast",0
USC,1947,"Pac-12 / Pacific Coast",0
USC,1952,"Pac-12 / Pacific Coast",0
USC,1962,"Pac-12 / Pacific Coast",0
USC,1966,"Pac-12 / Pacific Coast",0
USC,1967,"Pac-12 / Pacific Coast",0
USC,1968,"Pac-12 / Pacific Coast",0
USC,1969,"Pac-12 / Pacific Coast",0
USC,1972,"Pac-12 / Pacific Coast",0
USC,1973,"Pac-12 / Pacific Coast",0
USC,1974,"Pac-12 / Pacific Coast",0
USC,1976,"Pac-12 / Pacific Coast",0
USC,1978,"Pac-12 / Pacific Coast",0
USC,1979,"Pac-12 / Pacific Coast",0
USC,1984,"Pac-12 / Pacific Coast",0
USC,1987,"Pac-12 / Pacific Coast",1
USC,1988,"Pac-12 / Pacific Coast",0
USC,1989,"Pac-12 / Pacific Coast",0
USC,1993,"Pac-12 / Pacific Coast",1
USC,1995,"Pac-12 / Pacific Coast",1
USC,2002,"Pac-12 / Pacific Coast",1
USC,2003,"Pac-12 / Pacific Coast",0
USC,2004,"Pac-12 / Pacific Coast",0
USC,2005,"Pac-12 / Pacific Coast",0
USC,2006,"Pac-12 / Pacific Coast",1
USC,2007,"Pac-12 / Pacific Coast",1
USC,2008,"Pac-12 / Pacific Coast",0
USC,2017,"Pac-12 / Pacific Coast",0
Utah,1922,"Mountain States",0
Utah,1926,"Mountain States",0
Utah,1928,"Mountain States",0
Utah,1929,"Mountain States",0
Utah,1930,"Mountain States",0
Utah,1931,"Mountain States",0
Utah,1932,"Mountain States",0
Utah,1933,"Mountain States",1
Utah,1938,"Mountain States",0
Utah,1940,"Mountain States",0
Utah,1941,"Mountain States",0
Utah,1942,"Mountain States",1
Utah,1947,"Mountain States",0
Utah,1948,"Mountain States",0
Utah,1951,"Mountain States",0
Utah,1952,"Mountain States",0
Utah,1953,"Mountain States",0
Utah,1957,"Mountain States",0
Utah,1964,"WAC",1
Utah,1999,"Mountain West",1
Utah,2003,"Mountain West",0
Utah,2004,"Mountain West",0
Utah,2008,"Mountain West",0
Utah,2021,"Pac-12 / Pacific Coast",0
Utah,2022,"Pac-12 / Pacific Coast",0
Utah State,1921,"Mountain States",0
Utah State,1935,"Mountain States",1
Utah State,1936,"Mountain States",0
Utah State,1946,"Mountain States",0
Utah State,1960,"Mountain States",1
Utah State,1961,"Mountain States",1
Utah State,1978,"Big West",1
Utah State,1979,"Big West",0
Utah State,1993,"Big West",1
Utah State,1996,"Big West",1
Utah State,1997,"Big West",1
Utah State,2012,"WAC",0
Utah State,2021,"Mountain West",0
UTEP,2000,"WAC",1
UTSA,2021,"Big West",0
UTSA,2022,"Big West",0
Vanderbilt,1923,"Southern",0
Virginia,1989,"ACC",1
Virginia,1995,"ACC",1
Virginia Tech,1963,"Southern",0
Virginia Tech,1995,"Big East",1
Virginia Tech,1996,"Big East",1
Virginia Tech,1999,"Big East",0
Virginia Tech,2004,"ACC",0
Virginia Tech,2007,"ACC",0
Virginia Tech,2008,"ACC",0
Virginia Tech,2010,"ACC",0
Wake Forest,1970,"ACC",0
Wake Forest,2006,"ACC",0
Washington,1916,"Pac-12 / Pacific Coast",0
Washington,1917,"Pac-12 / Pacific Coast",0
Washington,1925,"Pac-12 / Pacific Coast",0
Washington,1936,"Pac-12 / Pacific Coast",0
Washington,1959,"Pac-12 / Pacific Coast",0
Washington,1960,"Pac-12 / Pacific Coast",0
Washington,1963,"Pac-12 / Pacific Coast",0
Washington,1977,"Pac-12 / Pacific Coast",0
Washington,1980,"Pac-12 / Pacific Coast",0
Washington,1981,"Pac-12 / Pacific Coast",0
Washington,1990,"Pac-12 / Pacific Coast",0
Washington,1991,"Pac-12 / Pacific Coast",0
Washington,1992,"Pac-12 / Pacific Coast",1
Washington,1995,"Pac-12 / Pacific Coast",1
Washington,2000,"Pac-12 / Pacific Coast",1
Washington,2016,"Pac-12 / Pacific Coast",0
Washington,2018,"Pac-12 / Pacific Coast",0
Washington,2023,"Pac-12 / Pacific Coast",0
Washington State,1930,"Pac-12 / Pacific Coast",0
Washington State,1997,"Pac-12 / Pacific Coast",1
Washington State,2002,"Pac-12 / Pacific Coast",1
West Virginia,1953,"Southern",0
West Virginia,1954,"Southern",0
West Virginia,1955,"Southern",0
West Virginia,1956,"Southern",0
West Virginia,1958,"Southern",0
West Virginia,1964,"Southern",0
West Virginia,1965,"Southern",0
West Virginia,1967,"Southern",0
West Virginia,1993,"Big East",1
West Virginia,2003,"Big East",1
West Virginia,2005,"Big East",0
West Virginia,2007,"Big East",1
West Virginia,2010,"Big East",0
West Virginia,2011,"Big East",1
Western Kentucky,1952,"MVFC",0
Western Kentucky,1963,"MVFC",0
Western Kentucky,1970,"MVFC",0
Western Kentucky,1971,"MVFC",0
Western Kentucky,1973,"MVFC",0
Western Kentucky,1975,"MVFC",0
Western Kentucky,1978,"MVFC",0
Western Kentucky,1980,"MVFC",0
Western Kentucky,2000,"MVFC",0
Western Kentucky,2002,"MVFC",0
Western Kentucky,2015,"Big West",0
Western Kentucky,2016,"Big West",0
Western Michigan,1966,"MAC",1
Western Michigan,1988,"MAC",0
Western Michigan,2016,"MAC",0
Western Michigan,2025,"MAC",0
Wisconsin,1896,"Big Ten",0
Wisconsin,1897,"Big Ten",0
Wisconsin,1901,"Big Ten",1
Wisconsin,1906,"Big Ten",1
Wisconsin,1912,"Big Ten",0
Wisconsin,1952,"Big Ten",1
Wisconsin,1959,"Big Ten",0
Wisconsin,1962,"Big Ten",0
Wisconsin,1993,"Big Ten",1
Wisconsin,1998,"Big Ten",1
Wisconsin,1999,"Big Ten",0
Wisconsin,2010,"Big Ten",1
Wisconsin,2011,"Big Ten",0
Wisconsin,2012,"Big Ten",0
Wyoming,1949,"Mountain States",0
Wyoming,1950,"Mountain States",0
Wyoming,1956,"Mountain States",0
Wyoming,1958,"Mountain States",0
Wyoming,1959,"Mountain States",0
Wyoming,1960,"Mountain States",1
Wyoming,1961,"Mountain States",1
Wyoming,1966,"WAC",1
Wyoming,1967,"WAC",1
Wyoming,1968,"WAC",1
Wyoming,1976,"WAC",1
Wyoming,1987,"WAC",0
Wyoming,1988,"WAC",1
Wyoming,1993,"WAC",1
