school,slug,conference,primary_hex,secondary_hex,former_fcs
UTEP,utep,Conference USA,#ff8200,#041e42,0
UTSA,utsa,American,#0c2340,#f15a22,0
Vanderbilt,vanderbilt,SEC,#866d4b,#000000,0
Virginia,virginia,ACC,#232d4b,#f84c1e,0
Virginia Tech,virginia-tech,ACC,#630031,#cf4420,0
Wake Forest,wake-forest,ACC,#9e7e38,#000000,0
Washington,washington,Big Ten,#4b2e83,#e8e3d3,0
Washington State,washington-st,Pac-12,#981e32,#5e6a71,0
West Virginia,west-virginia,Big 12,#002855,#eaaa00,0
Western Kentucky,western-ky,Conference USA,#c60c30,#000000,0
Western Michigan,western-mich,MAC,#6c4023,#b5a167,0
Wisconsin,wisconsin,Big Ten,#c5050c,#ffffff,0
Wyoming,wyoming,Mountain West,#492f24,#ffc425,0
